NGÀY GIỜ,NGÀY,THÁNG,Ma VC,NHÀ VẬN CHUYỂN,TRÙNG?,MÃ VẬN ĐƠN,"1 XONG
2 HOÀN
3 KHIẾU NẠI",GỬI?,XEM VĐ,NGÀY 10/9 ĐƠN: 123 NGÀY 9/9 ĐƠN: 109 NGÀY 8/9 ĐƠN: 55,GHI CHÚ,QUA KHO TQ,,IN SPX
01/08 11:27,1,8,6,SHOPEE EXPRESS,OK,SPXVN032313710188,0,ĐÃ GỬI,SPX 0188,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN039802187398,0,ĐÃ GỬI,SPX 7398,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN032814557178,0,ĐÃ GỬI,SPX 7178,,,,,
01/08 11:28,1,8,2,JT EXPRESS,OK,855686189334,0,ĐÃ GỬI,JT 9334,,,,,
01/08 11:28,1,8,7,VIETTEL,OK,SHOPEEVTP101550846,0,ĐÃ GỬI,VIETTEL 0846,,,,,
01/08 11:28,1,8,3,GIAO HÀNG NHANH,OK,G8LU36FK,0,ĐÃ GỬI,GHN 36FK,,,,,
01/08 11:28,1,8,3,GIAO HÀNG NHANH,OK,G8LU36FP,0,ĐÃ GỬI,GHN 36FP,,,,,
01/08 11:28,1,8,3,GIAO HÀNG NHANH,OK,G8LU36FB,0,ĐÃ GỬI,GHN 36FB,,,,,
01/08 11:28,1,8,3,GIAO HÀNG NHANH,OK,G8LU36FD,2,HOÀN,GHN 36FD,,,,,
01/08 11:28,1,8,3,GIAO HÀNG NHANH,OK,G8LU36FW,0,ĐÃ GỬI,GHN 36FW,,,,,
01/08 11:28,1,8,3,GIAO HÀNG NHANH,OK,G8LU36F6,0,ĐÃ GỬI,GHN 36F6,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN033259008108,2,HOÀN,SPX 8108,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN031048643058,2,HOÀN,SPX 3058,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN030622013708,0,ĐÃ GỬI,SPX 3708,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN033114220058,0,ĐÃ GỬI,SPX 0058,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN030274510348,2,HOÀN,SPX 0348,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN037362728298,0,ĐÃ GỬI,SPX 8298,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN034016814618,0,ĐÃ GỬI,SPX 4618,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN035679434268,0,ĐÃ GỬI,SPX 4268,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN035563754978,0,ĐÃ GỬI,SPX 4978,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN038828169248,0,ĐÃ GỬI,SPX 9248,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN038807665328,0,ĐÃ GỬI,SPX 5328,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN036223362628,0,ĐÃ GỬI,SPX 2628,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN032974195108,0,ĐÃ GỬI,SPX 5108,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN032440319758,0,ĐÃ GỬI,SPX 9758,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN033963168308,0,ĐÃ GỬI,SPX 8308,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN037313085068,0,ĐÃ GỬI,SPX 5068,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN038171201448,0,ĐÃ GỬI,SPX 1448,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN030641858178,0,ĐÃ GỬI,SPX 8178,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN034704297628,0,ĐÃ GỬI,SPX 7628,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN032488446938,0,ĐÃ GỬI,SPX 6938,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN039170478678,0,ĐÃ GỬI,SPX 8678,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN035152092138,0,ĐÃ GỬI,SPX 2138,,,,,
01/08 11:28,1,8,6,SHOPEE EXPRESS,OK,SPXVN031900282008,0,ĐÃ GỬI,SPX 2008,,,,,
